Term 1	Term 2	Term 3	Frequency of Trigram	Frequency of Context	Conditional Probability of Trigram
$	va	#	17	20	0.85
$	no	we	12	72	0.16666666666666666
$	kkkk	#	10	10	1.0
$	xd	#	9	9	1.0
$	beno	#	9	9	1.0
no	we	#	9	12	0.75
$	si	we	9	35	0.2571428571428571
$	ey	#	9	11	0.8181818181818182
score	seer	#	9	9	1.0
al	score	seer	8	8	1.0
$	ewe	#	7	9	0.7777777777777778
no	?	#	7	7	1.0
$	kkkkk	#	7	7	1.0
$	a	ver	7	27	0.25925925925925924
$	👍	🏻	7	7	1.0
👍	🏻	#	7	7	1.0
verdad	?	#	6	6	1.0
$	al	rato	6	7	0.8571428571428571
$	no	mames	6	72	0.08333333333333333
$	kkkkkk	#	6	6	1.0
$	méteme	al	6	6	1.0
méteme	al	score	6	6	1.0
$	no	se	5	72	0.06944444444444445
$	es	que	5	16	0.3125
$	o	#	5	12	0.4166666666666667
qp	?	#	5	5	1.0
$	no	#	5	72	0.06944444444444445
si	we	#	5	10	0.5
$	ese	we	5	9	0.5555555555555556
$	no	te	5	72	0.06944444444444445
$	ya	no	5	41	0.12195121951219512
$	ya	me	5	41	0.12195121951219512
$	bueno	#	5	9	0.5555555555555556
$	smn	#	4	9	0.4444444444444444
pues	es	que	4	4	1.0
$	si	#	4	35	0.11428571428571428
!	!	!	4	7	0.5714285714285714
$	hola	#	4	4	1.0
$	bet	#	4	4	1.0
algo	bien	#	4	4	1.0
$	yo	creo	4	11	0.36363636363636365
yo	creo	que	4	5	0.8
a	las	10	4	8	0.5
$	si	no	4	35	0.11428571428571428
que	onda	#	4	4	1.0
$	meteme	al	4	4	1.0
$	bueno	,	4	9	0.4444444444444444
$	jajajaja	#	3	4	0.75
🙏	🏻	#	3	3	1.0
$	jajaja	#	3	4	0.75
$	en	el	3	7	0.42857142857142855
$	no	me	3	72	0.041666666666666664
$	gracias	we	3	5	0.6
gracias	we	#	3	3	1.0
fepi	?	#	3	3	1.0
$	lo	de	3	9	0.3333333333333333
$	nice	#	3	3	1.0
voy	a	hablar	3	12	0.25
o	qp	?	3	3	1.0
$	pues	es	3	20	0.15
we	xd	#	3	3	1.0
$	a	mi	3	27	0.1111111111111111
$	pero	que	3	31	0.0967741935483871
$	todavía	no	3	3	1.0
$	yo	#	3	11	0.2727272727272727
ese	we	#	3	6	0.5
$	🥶	#	3	3	1.0
$	estás	en	3	6	0.5
$	e	#	3	3	1.0
$	y	ya	3	20	0.15
$	ya	quedó	3	41	0.07317073170731707
$	eres	un	3	3	1.0
de	ahuevo	#	3	4	0.75
$	a	#	3	27	0.1111111111111111
,	no	?	3	7	0.42857142857142855
$	dijo	que	3	4	0.75
$	no	contesta	3	72	0.041666666666666664
$	voy	a	3	4	0.75
en	eso	#	3	3	1.0
las	10	#	3	4	0.75
$	ahorita	que	3	7	0.42857142857142855
mi	estimado	#	3	3	1.0
la	verga	#	3	4	0.75
$	que	onda	3	32	0.09375
más	?	#	3	3	1.0
$	no	ps	3	72	0.041666666666666664
$	bien	ahí	3	3	1.0
bien	ahí	#	3	3	1.0
$	smn	,	3	9	0.3333333333333333
lo	iba	a	3	3	1.0
$	ah	,	3	7	0.42857142857142855
el	lunes	#	3	3	1.0
a	ver	si	3	8	0.375
we	kkkkk	#	3	3	1.0
te	aviso	#	3	3	1.0
$	cómprame	bonles	3	5	0.6
cómprame	bonles	#	3	3	1.0
no	se	ocupa	2	12	0.16666666666666666
al	rato	en	2	8	0.25
rato	en	la	2	2	1.0
el	profe	#	2	2	1.0
estoy	viendo	qp	2	3	0.6666666666666666
viendo	qp	#	2	2	1.0
$	es	lo	2	16	0.125
$	y	me	2	20	0.1
me	da	culo	2	2	1.0
